date,video_id,title,channel,channel_id,subscribers,category,views,likes,comments
2025-02-20,fn_LO1NlKkk,Open Thoughts With Druski,Open Thoughts,UCNWHllkNIWv1MSvKcOzLsow,804000,Entertainment,814428,25567,2610
2025-02-20,F1_aOX0acbY,"W Sound 05 ""LA PLENA"" - Beéle, Westcol, Ovy On The Drums",W Sound,UCWOVPbJfZ_g1JslVi_OFGfQ,320000,Music,565471,80985,13280
2025-02-20,cnu6KBdtELY,A Pokémon Nuzlocke nearly ruined by Glitches,Alpharad,UCBODyKF0JMbUd6D9Bklyzbw,3710000,Gaming,421203,28073,1290
2025-02-20,RsKygtA2DMY,Bring Her Back | Official Teaser HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,1460000,Film & Animation,350958,12192,1015
2025-02-20,s1aQb1bgPdQ,Real Madrid vs. Manchester City: Extended Highlights | UCL Knockout Phase Play-off Leg 2 | CBS,CBS Sports Golazo,UCET00YnetHT7tOpu12v8jxg,2250000,Sports,1265432,17313,1778
2025-02-20,TgKsG6NZSIo,Why Kendrick Lamar's Super Bowl Halftime Show Is America,Josh Johnson,UCLuYADJ6hESLHX87JnsGbjA,1400000,Comedy,1422802,96392,6786
2025-02-20,DxoyvthtjPA,"GUESS the PRICE, I'll BUY IT *Challenge* | Louie's Life",Louie's Life,UCZDdF_p-L88NWVpzF0vjvMQ,2760000,Entertainment,86542,5370,375
2025-02-20,ptslByTONso,Lil Poppa - Forever Grateful (Official Music Video),Lil Poppa,UCyEM4Sfyous2XuWbKep38jg,685000,Music,132339,11286,701
2025-02-20,gi24Xl2PJIc,Satellite Images Reveal The Reality Of Saudi Arabia's $2 Trillion Megacity In The Desert,Business Insider,UCcyq283he07B7_KUX07mmtA,9880000,News & Politics,1323254,13556,2293
2025-02-20,uz6oyGKGvNo,Young G.O.A.T (Official Video) Cheema Y | Gur Sidhu | New Punjabi Song 2025,Brown Town Music,UColNRmGBE3dNzJ89zZZOh2Q,3580000,Music,3366231,201940,2159
2025-02-20,N3IRE58hYYM,WHEN YOU GET YOUR FIRST JOB,Darryl Mayes,UCOAh7LxxMFBFLeRrKGKhScA,2530000,Comedy,303111,16061,1466
2025-02-20,aOL-1kKeDF8,NRL All Stars 2025 | Indigenous v Māori | Match Highlights,NRL - National Rugby League,UC33-OkQ6VCYk8xtml8Pk4-g,466000,Sports,234914,2831,781
2025-02-20,Z0NJ3KqMjKY,F1 75 LIVE Highlights | 2025 F1 Car Liveries Revealed!,FORMULA 1,UCB_qr75-ydFVKSF9Dmo6izg,11600000,Sports,2172771,58213,3290
2025-02-20,zT4uqa_hsKM,COME BACK (Studio Box Ep),Saii Kay Music ,UCv9wSO7Zc0iq9HSfY0Njqjg,27100,Music,81739,0,193
2025-02-20,EMHb50V3Tco,SIDEMEN AMONG US PROXIMITY CHAT: CANNIBAL EDITION,MoreSidemen,UCh5mLn90vUaB1PbRRx_AiaA,9120000,People & Blogs,3682530,143728,4228
2025-02-20,0plTobTOivo,Former Kennedy Center president Deborah Rutter talks about dismissal | All Things Considered | NPR,NPR,UCJnS2EsPfv46u1JR8cnD0NA,578000,News & Politics,305028,10291,3539
2025-02-20,CDDbBBGtSX8,The Sims 4 Businesses & Hobbies | Official Gameplay Trailer,The Sims,UCFXKLSrT-4-Mf5TRqv40rgw,1910000,Gaming,414776,23842,4383
2025-02-20,V5ChvWj9NC8,"The Revolution (Full Ep) Arjan Dhillon, Mxrci | Latest Punjabi Songs 2025 | Panj-aab Records",Panj-aab Records,UCQoY_9ZKWKCOWGENzg2INIQ,2730000,Music,1069624,51878,2480
2025-02-20,eNN0B60rMys,"*EXCLUSIVE* HUMAN TORCH Guide, Combos, Tips And Ability Breakdown",Necros,UCAKuhQ3obS6kZe3gHmKq71Q,374000,Gaming,710130,23161,1106
2025-02-20,DpCrtVKIEmg,Our Daughter’s EMOTIONAL Birthday Surprise,The Royalty Family,UCja7QUMRG9AD8X2F_vXFb9A,28800000,People & Blogs,2920200,41732,0
2025-02-20,t0Sa_2R2jMw,All 80 aboard Delta flight survive after jet flips upon arrival in Toronto,WKYC Channel 3,UCNBmxc6FvKyxtCpUygcdINA,413000,News & Politics,1271684,5586,2568
2025-02-20,2IVlE7DZjrQ,What is Roblox Obby,Slushy Noobz,UC5ig0ubThGbS1sVlexAQySw,769000,Gaming,628464,47787,6309
2025-02-20,KXNOWJezRyY,Surviving 3 Haunted Prisons ALONE for 50 Hours | Full Movie,Sam and Colby,UCg3gzldyhCHJjY7AWWTNPPA,13700000,Entertainment,3994252,194183,28099
2025-02-20,KDorKy-13ak,Kendrick Lamar's Apple Music Super Bowl Halftime Show,NFL,UCDVYQ4Zhbm3S2dlz7P1GBDg,14300000,Sports,76489971,2750850,161849
2025-02-20,KrMFqA2oG-I,A$AP Rocky & Rihanna Face Media Outside Court After AQUITTAL,extratv,UCVr-TwiGNnveWyOouIyz2fQ,912000,Entertainment,322108,5111,876
2025-02-20,tNIM8ajYp8s,I Went UNDERCOVER in Nick Eh 30's OG Hide & Seek!,CouRage Gaming,UCqg3BHb31w2h77vFuTFmp2w,2630000,Gaming,657612,33674,1218
2025-02-20,n1KgxqEQn0A,Is The Penny *Finally* Dead?,CGP Grey,UC2C_jShtL725hvbm1arSV9w,6650000,Entertainment,1525258,104590,123
2025-02-20,UPmMum19mbM,Complete Set in 83 Min. or Lose It All AGAIN (Pokemon Card Challenge),Deep Pocket Monster,UCnnrLDosqnpRPQ_TH3uXnnQ,1430000,Entertainment,641861,21887,1206
2025-02-20,TN_mFrAI858,NEW VLOG | COME TO THE BAFTAs WITH ME | MOLLYMAE,MollyMae,UC-F3kTU4V680v550AavEOsQ,2000000,People & Blogs,218044,7706,472
2025-02-20,-HPPGQhar3o,The Dream Team House Tour,Dream,UCTkXRDQl0luXxVQrRQvWS6w,31900000,Gaming,683243,55055,4460
2025-02-20,TtVKfqquGwA,I Got Hunted by the World's Best Minecraft Player,Parrot,UCPLMPHT-d8GZOqL_AHJFdQQ,1750000,Gaming,492462,17264,2538
2025-02-20,VkCknG-jdM4,TRYING BANNED TEMU ITEMS WITH QUEN,LARRAY,UCt_DaLB_NDqPVxezyvcfRtg,9720000,People & Blogs,1758642,115973,3192
2025-02-20,wn4F_BUT63s,ASMR MUKBANG | FT. ASH TREVINO,ZavaUtube,UCmHkA68G7ChN_J1blIKOTzg,183000,People & Blogs,449343,0,2022
2025-02-20,nsvmBlC-XQo,I REBUILT A PORSCHE 911 GT3RS THAT WENT SWIMMING,Mat Armstrong,UCcLYOTz3ct6_lk9iLToxxAw,4220000,Autos & Vehicles,3911244,202105,9239
2025-02-20,T3d-c1TAQQg,I Tested TEMU Scam Fitness Products,Will Tennyson,UCB2wtYpfbCpYDc5TeTwuqFA,3490000,People & Blogs,1952535,65030,3125
2025-02-20,xhP1B4x_DTI,I Tried Food From Every State!,a bit more willne,UC5JYRErFekvgcd2Sb-s8-Tg,2370000,Comedy,492797,21715,650
2025-02-20,sUot-_0OPfA,What the hell did we actually just witness?,Next Man Up,UCHdZOn6H4Q87BrkeKRuit8Q,104000,Sports,2846368,46282,9653
2025-02-20,UVJ4oSKhkcs,Decorating The House and Confronting Our Enemies!,Ryland vlogs,UCVe_RrR9AMeY6Z8ixOv5gtw,570000,People & Blogs,386452,17793,1320
